tema;legislacao;descricao;link
PESQUISA LEGISLATIVA ;Pesquisa Legislativa;Consulte as Leis e Decretos, bem como seus regulamentos (resoluções, portarias ...) de todos os órgãos do poder executivo de Minas Gerais. ;https://www.almg.gov.br/atividade-parlamentar/leis/legislacao-mineira/
CONSTITUIÇÃO DA REPÚBLICA ;Constituição da República Federativa do Brasil de 1988 ;https://www.planalto.gov.br/ccivil_03/Constituicao/Constituicao.htm;https://www.planalto.gov.br/ccivil_03/Constituicao/Constituicao.htm
TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Lei Complementar nº 101, de 04 de Maio de 2000 ;Estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências.;https://www.planalto.gov.br/ccivil_03/leis/LCP/Lcp101.htm
TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Lei Complementar nº 131, de 27 de Maio de 2009 ;Acrescenta dispositivos à Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências, a fim de determinar a disponibilização, em tempo real, de informações pormenorizadas sobre a execução. ;https://www.planalto.gov.br/ccivil_03/leis/LCP/Lcp131.htm
TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Decreto Federal nº 7.185, de 27 de Maio de 2010 ;Dispõe sobre o padrão mínimo de qualidade do sistema integrado de administração financeira e controle, no âmbito de cada ente da Federação, nos termos do art. 48, parágrafo único, inciso III, da Lei Complementar no 101, de 4 de maio de 2000, e dá outras providências. ;https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7185.htm
TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Lei Federal nº 12.527, de 18 de novembro de 2011 ;Regulamenta o direito constitucional de acesso dos cidadãos às informações públicas e é aplicável aos três Poderes da União, dos Estados, do Distrito Federal e dos Municípios. ;https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm
TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Decreto Estadual nº 45.969, de 24 de maio de 2012 ;Regulamenta o acesso à informação no âmbito do Poder Executivo Estadual. ;https://www.almg.gov.br/legislacao-mineira/DEC/45969/2012/
PROTEÇÃO DE DADOS PESSOAIS ;Lei Federal nº 13.709, de 14 de agosto de 2018 ;Lei Geral de Proteção de Dados Pessoais (LGPD). ;https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm
PROTEÇÃO DE DADOS PESSOAIS ;Decreto Estadual nº 48.237 de 22/07/2021;Dispõe sobre a aplicação da Lei Federal nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais – LGPD, no âmbito da Administração Pública direta e indireta do Poder Executivo. ;https://www.almg.gov.br/legislacao-mineira/texto/DEC/48237/2021/?cons=1
PROTEÇÃO AO DENUNCIANTE ;Decreto Estadual nº 48.582, de 03 de março de 2023 ;Dispõe sobre procedimentos e medidas de proteção à identidade do denunciante de ilícito ou de irregularidade praticados contra órgãos e entidades da Administração Pública direta, autárquica e fundacional do Poder Executivo. ;https://www.almg.gov.br/legislacao-mineira/DEC/48582/2023/
PROTEÇÃO AO DENUNCIANTE ;Resolução Conjunta OGE/CGE nº 1 de 13/08/2025 ;Dispõe sobre os mecanismos de proteção ao denunciante de ilícito ou de irregularidade praticados contra órgãos e entidades da Administração Pública direta, autárquica e fundacional do Poder Executivo Estadual. ;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=216976&marc=
GOVERNO DIGITAL ;Lei Federal nº 14.129, de 29 de março de 2021 ;Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública e altera a Lei nº 7.116, de 29 de agosto de 1983, a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), a Lei nº 12.682, de 9 de julho de 2012, e a Lei nº 13.460, de 26 de junho de 2017. ;https://www.almg.gov.br/legislacao-mineira/texto/DEC/48383/2022/
GOVERNO DIGITAL ;Decreto Estadual nº 48.383, de 18 de março de 2022;Regulamenta o Governo Digital Estadual, no âmbito da Administração Pública direta, autárquica e fundacional do Poder Executivo. ;https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14129.htm
LICITAÇÕES E CONTRATOS ;Lei Federal nº 14.133 de 01 de abril de 2021 ;Lei de Licitações e Contratos Administrativos. ;https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm
LICITAÇÕES E CONTRATOS ;Lei Estadual nº 14.167, de 10 de janeiro de 2002;Dispõe sobre a adoção, no âmbito do Estado, do pregão como modalidade de licitação para a aquisição de bens e serviços comuns e dá outras providências. ;https://www.ipsm.mg.gov.br/arquivos/legislacoes/legislacao/leis/lei_14167.pdf
RESPONSABILIZAÇÃO DE PESSOA JURÍDICA ;Lei Federal nº 12.846 de 1º de agosto de 2013 ;Dispõe sobre a responsabilização administrativa e civil de pessoas jurídicas pela prática de atos contra a administração pública, nacional ou estrangeira, e dá outras providências. ;https://www.almg.gov.br/legislacao-mineira/DEC/46782/2015/
RESPONSABILIZAÇÃO DE PESSOA JURÍDICA ;Decreto Estadual nº 46.782 de 23 de junho de 2015;Dispõe sobre o Processo Administrativo de Responsabilização, previsto na Lei Federal nº 12.846, de 1º de agosto de 2013, no âmbito da Administração Pública do Poder Executivo Estadual. ;https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12846.htm
CADASTRO GERAL DE FORNECEDORES - CAGEF ;Decreto Estadual nº 45.902, de 27 de janeiro de 2012;Dispõe sobre o Cadastro Geral de Fornecedores – CAGEF, previsto no art. 34 da Lei Federal nº 8.666, de 21 de junho de 1993, e regulamenta a Lei nº 13.994, de 18 de setembro de 2001, que institui o Cadastro de Fornecedores Impedidos de Licitar e Contratar com a Administração Pública Estadual – CAFIMP.;https://www.almg.gov.br/legislacao-mineira/Dec/45902/2012/
CADASTRO GERAL DE FORNECEDORES - CAGEF ;Lei Estadual nº 13.994 de 18 de setembro de 2001;Institui o Cadastro de Fornecedores Impedidos de Licitar e Contratar com a Administração Pública Estadual. ;https://www.almg.gov.br/legislacao-mineira/Lei/13994/2001/
ESTRUTURA GOVERNAMENTAL DO ESTADO DE MINAS GERAIS ;Lei Estadual nº 24.313, de 28 de abril de 2023;Estabelece a estrutura orgânica da Administração Pública do Poder Executivo do Estado, bem como as suas competências e /ou atribuições (Lei Estadual nº 24.313/2023). ;https://www.almg.gov.br/legislacao-mineira/texto/LEI/24313/2023/
REPASSES CONSTITUCIONAIS ;Legislação sobre repasses de ICMS, IPI e IPVA, da União e dos estados, para os municípios ;Regras Constitucionais de repasses de ICMS e IPVA dos Estados para os Municípios. ;https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art158
REPASSES CONSTITUCIONAIS ;Legislação sobre repasses de ICMS, IPI e IPVA, da União e dos estados, para os municípios ;Regras Constitucionais de repasses de IPI da União para os Estados e destes para os Municípios. ;https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art159
REPASSES CONSTITUCIONAIS ;Legislação sobre repasses de ICMS, IPI e IPVA, da União e dos estados, para os municípios ;Informações sobre Repasses de Receitas aos Municípios Mineiros disponibilizadas pela Secretaria de Estado de Fazenda. ;https://www.fazenda.mg.gov.br/governo/assuntos_municipais/previsao_repasses/
